,model,n,method,split,recall_macro,precision_macro,f1_macro,recall_c1,precision_c1,f1_c1
0,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,0,mix,test,0.805891752243042,0.8947303891181946,0.8454567193984985,0.9379733204841614,0.9854391813278198,0.96112060546875
1,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,0,mix,test_ext,0.7699954509735107,0.7037358283996582,0.7285560369491577,0.7984687685966492,0.8688797950744629,0.8321875929832458
2,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,0,active,test,0.805891752243042,0.8947303891181946,0.8454567193984985,0.9379733204841614,0.9854391813278198,0.96112060546875
3,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,0,active,test_ext,0.7699954509735107,0.7037358283996582,0.7285560369491577,0.7984687685966492,0.8688797950744629,0.8321875929832458
4,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,0,random,test,0.805891752243042,0.8947303891181946,0.8454567193984985,0.9379733204841614,0.9854391813278198,0.96112060546875
5,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,0,random,test_ext,0.7699954509735107,0.7037358283996582,0.7285560369491577,0.7984687685966492,0.8688797950744629,0.8321875929832458
6,512_hidden_dim_6000_vocab_size_1_layer_lstm.pt,0,mix,test,0.80656898021698,0.8889577388763428,0.8438981771469116,0.9381248354911804,0.9862261414527893,0.9615743160247803
7,512_hidden_dim_6000_vocab_size_1_layer_lstm.pt,0,mix,test_ext,0.768784761428833,0.7003666162490845,0.7254663705825806,0.7936984896659851,0.8641318082809448,0.8274189829826355
8,512_hidden_dim_6000_vocab_size_1_layer_lstm.pt,0,active,test,0.80656898021698,0.8889577388763428,0.8438981771469116,0.9381248354911804,0.9862261414527893,0.9615743160247803
9,512_hidden_dim_6000_vocab_size_1_layer_lstm.pt,0,active,test_ext,0.768784761428833,0.7003666162490845,0.7254663705825806,0.7936984896659851,0.8641318082809448,0.8274189829826355
10,512_hidden_dim_6000_vocab_size_1_layer_lstm.pt,0,random,test,0.80656898021698,0.8889577388763428,0.8438981771469116,0.9381248354911804,0.9862261414527893,0.9615743160247803
11,512_hidden_dim_6000_vocab_size_1_layer_lstm.pt,0,random,test_ext,0.768784761428833,0.7003666162490845,0.7254663705825806,0.7936984896659851,0.8641318082809448,0.8274189829826355
12,bert_2_v1,0,mix,test,0.7877733707427979,0.9029940366744995,0.8350101709365845,0.9403210878372192,0.9857879877090454,0.9625179171562195
13,bert_2_v1,0,mix,test_ext,0.7293661832809448,0.6984479427337646,0.7106824517250061,0.7950530052185059,0.8644425868988037,0.8282970786094666
14,bert_2_v1,0,active,test,0.7877733707427979,0.9029940366744995,0.8350101709365845,0.9403210878372192,0.9857879877090454,0.9625179171562195
15,bert_2_v1,0,active,test_ext,0.7293661832809448,0.6984479427337646,0.7106824517250061,0.7950530052185059,0.8644425868988037,0.8282970786094666
16,bert_2_v1,0,random,test,0.7877733707427979,0.9029940366744995,0.8350101709365845,0.9403210878372192,0.9857879877090454,0.9625179171562195
17,bert_2_v1,0,random,test_ext,0.7293661832809448,0.6984479427337646,0.7106824517250061,0.7950530052185059,0.8644425868988037,0.8282970786094666
18,bert_4_v1,0,mix,test,0.8006607294082642,0.9005871415138245,0.8438888788223267,0.9400181770324707,0.9868808388710022,0.9628796577453613
19,bert_4_v1,0,mix,test_ext,0.7497592568397522,0.707176923751831,0.7226957678794861,0.7958186268806458,0.8665512204170227,0.8296800851821899
20,bert_4_v1,0,active,test,0.8006607294082642,0.9005871415138245,0.8438888788223267,0.9400181770324707,0.9868808388710022,0.9628796577453613
21,bert_4_v1,0,active,test_ext,0.7497592568397522,0.707176923751831,0.7226957678794861,0.7958186268806458,0.8665512204170227,0.8296800851821899
22,bert_4_v1,0,random,test,0.8006607294082642,0.9005871415138245,0.8438888788223267,0.9400181770324707,0.9868808388710022,0.9628796577453613
23,bert_4_v1,0,random,test_ext,0.7497592568397522,0.707176923751831,0.7226957678794861,0.7958186268806458,0.8665512204170227,0.8296800851821899
